Phrase,Freq,Country,#hashtag,Synonyms
trade relations,210,usa,fp-china,FP-EA
cuba,1647,usa,fp-cuba,FP-LA
fidel castro,377,usa,fp-cuba,FP-LA
iran,86244,usa,fp-iran,FP-ME
tehran,8772,usa,fp-iran,FP-ME
soleimani,4518,usa,fp-iran,FP-ME
mullahs,2946,usa,fp-iran,FP-ME
hamas,2866,usa,fp-iran,FP-ME
iranians,2715,usa,fp-iran,FP-ME
khamenei,1924,usa,fp-iran,FP-ME
hezbollah,1898,usa,fp-iran,FP-ME
ayatollah,1705,usa,fp-iran,FP-ME
tehran nancy,1368,usa,fp-iran,FP-ME
khomeini,467,usa,fp-iran,FP-ME
obamas iran,286,usa,fp-iran,FP-ME
lran john kerry,282,usa,fp-iran,FP-ME
suleimani,265,usa,fp-iran,FP-ME
iran obama,181,usa,fp-iran,FP-ME
iraq,22040,usa,fp-iraq,FP-ME
baghdad,2678,usa,fp-iraq,FP-ME
iraqis,672,usa,fp-iraq,FP-ME
japan,2655,usa,fp-japan,FP-EA
tokyo,471,usa,fp-japan,FP-EA
korea,3634,usa,fp-korea,FP-EA
korean,326,usa,fp-korea,FP-EA
north korea,183,usa,fp-korea,FP-EA
kurds,263,usa,fp-me,FP-ME
saudi arabian,249,usa,fp-me,FP-ME
kurdistan,239,usa,fp-me,FP-ME
mosul,226,usa,fp-me,FP-ME
mexico,9069,usa,fp-mexico,FP-LA
mexican,913,usa,fp-mexico,FP-LA
andres manuel,273,usa,fp-mexico,FP-LA
nafta,264,usa,fp-mexico,FP-LA
saudi,4263,usa,fp-saudi,FP-ME
saudi arabia,3895,usa,fp-saudi,FP-ME
arabia,1169,usa,fp-saudi,FP-ME
saudis,1169,usa,fp-saudi,FP-ME
venezuela,3586,usa,fp-venezuela,FP-LA
honduras,1290,usa,fp-honduras,FP-LA
guam,1231,usa,fp-guam,FP-LA
bolivia,1230,usa,fp-bolivia,FP-LA
guatemala,1185,usa,fp-guatemala,FP-LA
brazil,737,usa,fp-brazil,FP-LA
chile,640,usa,fp-chile,FP-LA
argentina,394,usa,fp-argentina,FP-LA
jamaica,394,usa,fp-jamaica,FP-CA
costa rica,355,usa,fp-costarica,FP-LA
bolivian,205,usa,fp-bolivia,FP-LA
salvador,185,usa,fp-elsalvador,FP-LA
chilean,180,usa,fp-chile,FP-LA
ukraine,58177,usa,fp-ukraine,FP-EE
ukrainians,2232,usa,fp-ukraine,FP-EE
burisma,1400,usa,fp-ukraine,FP-EE
kiev,1274,usa,fp-ukraine,FP-EE
yuri lutsenko,569,usa,fp-ukraine,FP-EE
kyiv,324,usa,fp-ukraine,FP-EE
lutsenko,286,usa,fp-ukraine,FP-EE
devon archer,232,usa,fp-ukraine,FP-EE
nick sandmann,4559,usa,gun control,
gun control,3134,usa,gun control,
gun owners,2839,usa,gun control,
gun rights rally,1675,usa,gun control,
gun rights,1516,usa,gun control,
gunman,1492,usa,gun control,
gun rally,1444,usa,gun control,
nra,839,usa,gun control,
rifle,661,usa,gun control,
gun control laws,628,usa,gun control,
gun confiscation,508,usa,gun control,
gun violence,503,usa,gun control,
gun control bills,404,usa,gun control,
handgun,370,usa,gun control,
nick sandman,365,usa,gun control,
david hogg,360,usa,gun control,
gun ownership,323,usa,gun control,
mass shootings,318,usa,gun control,
gun ban,309,usa,gun control,
gun grabbers,266,usa,gun control,
gun-toting,243,usa,gun control,
nicholas sandmann,226,usa,gun control,
gun ranges,225,usa,gun control,
gun-rights rally,223,usa,gun control,
assault weapons ban,208,usa,gun control,
concealed,194,usa,gun control,
gun sanctuaries,192,usa,gun control,
anthony ferrill,143,usa,gun control,
#nra member,132,usa,gun control,
panic alarm,123,usa,gun control,
firearms,2315,usa,gun control ,
jack wilson,1764,usa,gun debate,
gun laws,1268,usa,gun debate,
obamacare,2003,usa,health,
cdc,1072,usa,health,
bill ripoffs,407,usa,health,
immigration hoax,360,usa,immigration,
patrol agents,301,usa,immigration,
issue driver licenses,266,usa,immigration,
#immigration laws,239,usa,immigration,
sanctuary city fight,196,usa,immigration,
deportation appeals,108,usa,immigration,
outlaw sanctuary cities,75,usa,immigration,
sanctuary cities,2282,usa,immigration ,
border wall,1878,usa,immigration ,
asylum seekers,943,usa,immigration ,
refuge,935,usa,immigration ,
immigration fraud,890,usa,immigration ,
extradition,886,usa,immigration ,
sanctuary policies,881,usa,immigration ,
border security,758,usa,immigration ,
refugee resettlement,676,usa,immigration ,
sanctuary city,532,usa,immigration ,
brian terry,425,usa,immigration ,
amendment sanctuaries,408,usa,immigration ,
border wall funding,376,usa,immigration ,
border patrol,353,usa,immigration ,
trump wall,308,usa,immigration ,
citizenship law,248,usa,immigration ,
immigration policy,246,usa,immigration ,
ice detainer,204,usa,immigration ,
border wall system,195,usa,immigration ,
impeachment,175036,usa,impeachment,
impeachment trial,15023,usa,impeachment,
impeachment hoax,10312,usa,impeachment,
quo,9925,usa,impeachment,
impeachment sham,8781,usa,impeachment,
sham impeachment,8128,usa,impeachment,
impeachment articles,7981,usa,impeachment,
senate impeachment trial,4531,usa,impeachment,
impeachment hearings,3810,usa,impeachment,
impeachment process,3559,usa,impeachment,
impeachment case,3199,usa,impeachment,
impeachment inquiry,2747,usa,impeachment,
jonathan turley,2348,usa,impeachment,
#impeachment,2334,usa,impeachment,
impeachment scam,2243,usa,impeachment,
