Phrase,Freq,Country,#hashtag
arsonists,2071,,crime
murders,2068,,crime
baltimore,2067,usa,
sessions,2064,usa,republican
fascists,2060,,ideology
honesty,2049,,value
john bolton,2043,usa,republican
tommy robinson,2039,uk,far-right
ivanka,2039,usa,trump
tucker,2038,usa,
laura ingraham,2036,usa,cons-media
austin,2015,usa,
jim jordan,2012,usa,republican
fascism,2005,,ideology
obamacare,2003,usa,health
party meps,2000,uk,
militia,1996,usa,protest
medicine,1995,,health
westminster,1993,uk,
john bercow,1980,uk,conservative
nurse,1976,,health
arson,1974,,crime
austerity,1972,uk,economy
pat cipollone,1970,usa,republican
murderer,1958,,crime
cambridge,1950,uk,
sydney,1944,,fp-australia
jihad,1938,,terrorism
alan dershowitz,1933,usa,republican
poland,1928,poland,poland
khamenei,1924,usa,fp-iran
impeachment coup,1906,usa,impeachment
election results,1905,,election
martin luther,1903,usa,race
hezbollah,1898,usa,fp-iran
vietnam,1897,,fp-vietnam
mp,1895,uk,
hijab,1894,,islam
world war,1888,,defense
empire,1882,usa,fp
border wall,1878,usa,immigration 
conscience,1878,,value
sidney powell,1876,usa,
brits,1874,uk,
family members,1874,,family
mosque,1873,,islam
arkansas,1871,usa,
reps,1868,usa,republican
patriotism,1864,,nationalism
knife,1854,uk,terrorism
massacre,1851,,crime
misdemeanors,1850,,crime
jacksonville,1841,usa,
whites,1837,usa,race
doug collins,1831,usa,republican
prince,1830,uk,royalty
rapes,1829,,crime
impeachment managers,1824,usa,impeachment
cory booker,1816,usa,democrat
derangement syndrome,1816,,health
supremacist,1810,usa,race
mike lee,1809,usa,republican
anti-semite,1806,,jews
nhs,1794,uk,health
eric ciaramella,1794,usa,
spain,1793,spain,spain
limbaugh,1793,usa,cons-media
atlanta,1783,usa,
liberalism,1777,,ideology
fuel,1772,,cc
jack wilson,1764,usa,gun debate
electricity,1763,,cc
nigel,1760,uk,brexit
climate crisis,1756,,cc
food stamps,1755,,poverty
khan,1746,,fp-pakistan
teenager,1743,,youth
bjp,1742,,fp-india
player,1737,,religion
ralph northam,1735,usa,democrat
impeachment manager,1732,usa,impeachment
hearing,1731,usa,impeachment
war powers,1721,usa,justice
yemen,1718,,fp-yemen
detroit,1708,usa,
illness,1707,,health
ayatollah,1705,usa,fp-iran
primaries,1691,usa,elections
surgery,1691,,health
economics,1690,,economy
project veritas,1689,usa,
heritage,1686,usa,
pope,1682,,christian
donald j trump,1680,usa,trump
recession,1677,,economy
sussex,1675,uk,
gun rights rally,1675,usa,gun control
egypt,1674,,fp-egypt
vegas,1667,usa,
keir starmer,1660,uk,labour
boris johnsons,1659,uk,conservative
tennessee,1656,usa,
nothing dems,1652,usa,democrat
labor,1651,uk,labour
cuba,1647,usa,fp-cuba
michelle obama,1642,usa,democrat
sex trafficking,1631,,crime
monarchy,1613,uk,royalty
injuries,1602,,health
arse,1601,uk,
english,1599,uk,
klobuchar,1597,usa,democrat
hampshire,1574,usa,
holocaust,1572,,jews
oregon,1571,usa,
animal,1570,,cc
ricky gervais,1563,uk,comedian
militias,1562,usa,protest
radicals,1559,,protest
murderers,1558,,crime
snowflakes,1556,usa,segment
alberta,1555,usa,fp-canada
bbc,1554,uk,media
cia,1553,usa,intelligence
house speaker,1552,usa,
rebellion,1552,,cc
emissions,1547,,cc
sin,1546,,religion
