Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
jerrold nadler,268,usa,democrats,,0
barack,267,usa,democrats,obama,0
cortez,267,usa,democrats,aoc,0
michelle obamas,261,usa,democrats,,0
democrat support,260,usa,democrats,,0
johnson-harrell,260,usa,democrats,,0
louella thompson,256,usa,democrats,,0
russia/sanders,252,usa,democrats,bernie,0
blumenthal,246,usa,democrats,,0
david skaggs,238,usa,democrats,,0
matt cartwright,238,usa,democrats,,0
kathleen kennedy townsend,235,usa,democrats,,0
democrats today,232,usa,democrats,,0
josh gottheimer,225,usa,democrats,,0
lofgren,224,usa,democrats,,0
mikie sherrill,223,usa,democrats,,0
biden schiff,220,usa,democrats,biden,0
democrats vow,216,usa,democrats,,0
democrat caucus,211,usa,democrats,,0
house minority leader,208,usa,democrats,,0
obama-appointed,208,usa,democrats,,0
chris pappas,206,usa,democrats,,0
chris stevens,204,usa,democrats,,0
democrat standarddo,204,usa,democrats,,0
katie hill,204,usa,democrats,,0
frank biden,203,usa,democrats,biden,0
cedric richmond,200,usa,democrats,,0
brzezinski,199,usa,democrats,,0
tom ohalleran,199,usa,democrats,,0
trump obama,198,usa,democrats,,0
aliens democrats,194,usa,democrats,,0
pelosi/schiff/nadler,194,usa,democrats,,0
bob menendez,192,usa,democrats,,0
paul begala,190,usa,democrats,,0
debbie wasserman,187,usa,democrats,,0
john lewis,185,usa,democrats,,0
#obama,181,usa,democrats,,0
democrats demise,181,usa,democrats,,0
schumer-pelosi-sanders-biden- buttigieg-warren-klobuchar-steyer,163,usa,democrats,,0
hunter biden-connected,149,usa,democrats,,0
state department,3035,usa,dos,,0
state dept,2956,usa,dos,,0
dollars,12411,usa,economy,,0
dollar,2337,usa,economy,,0
infrastructure bill,373,usa,economy,,0
dow jones,346,usa,economy,,0
credit card regulations,339,usa,economy,,0
imf,336,usa,economy,,0
401k,323,usa,economy,,0
treasury secretary,277,usa,economy,,0
bank cut interest rates,272,usa,economy,,0
literacy programs,564,usa,education,,0
education/labor committees,407,usa,education,,0
re-election,4442,usa,elections,,0
primaries,1691,usa,elections,,0
campaign trail,1072,usa,elections,,0
election campaign,1023,usa,elections,,0
poll numbers,955,usa,elections,,0
campaign manager,929,usa,elections,,0
voter registration,922,usa,elections,,0
smear campaign,882,usa,elections,,0
election year,689,usa,elections,,0
battleground states,450,usa,elections,,0
swing districts,385,usa,elections,,0
election fraud,355,usa,elections,,0
swing states,339,usa,elections,,0
democracies,321,usa,elections,,0
campaign finance law violations,275,usa,elections,,0
senate race,257,usa,elections,,0
election time,251,usa,elections,,0
election coverage,249,usa,elections,,0
senate seat scandal,217,usa,elections,,0
poll workers,191,usa,elections,,0
saliva-soaked fingers,188,usa,elections,,0
billionaire fetish,182,usa,elections,,0
election moderator,155,usa,elections,,0
anti-trump bias,152,usa,elections,,0
trump-hating lunatic,151,usa,elections,,0
caucus volunteers,140,usa,elections,,0
virginias votes,122,usa,elections,,0
election interference investigation,121,usa,elections,,0
debate prep,115,usa,elections,,0
turnout machine,113,usa,elections,,0
#uncledick,112,usa,elections,,0
ervin julian,112,usa,elections,,0
vote total,111,usa,elections,,0
campaign trail joke,109,usa,elections,,0
todaytrump,108,usa,elections,,0
trump communications director,104,usa,elections,,0
front runner democrats,103,usa,elections,,0
fidel sanders,85,usa,elections,,0
billy graham,1343,usa,evangelical,,0
franklin graham,1115,usa,evangelical,,0
evangelicals,883,usa,evangelical,,0
jim baker,269,usa,evangelical,,0
kyle jurek,4209,usa,far-left,,0
anarchist group,147,usa,far-left,,0
laura loomer,4288,usa,far-right,,0
alex jones,1134,usa,far-right,,0
nick fuentes,351,usa,far-right,,0
